X.1,Favourable,Unfavourable
15/08/2025,21,52
14/07/2025,19,54
16/06/2025,19,53
14/05/2025,16,55
29/04/2025,19,52
14/04/2025,16,54
17/03/2025,18,50
11/03/2025,16,50
05/03/2025,19,49
17/02/2025,17,51
17/01/2025,22,46
13/01/2025,18,50
09/01/2025,20,45
13/12/2024,18,49
10/11/2024,21,41
31/10/2024,12,45
06/10/2024,13,40
13/09/2024,14,36
28/08/2024,13,34
14/08/2024,13,35
31/07/2024,11,37
20/06/2024,12,35
12/06/2024,11,34
12/05/2024,11,34
