X.1,X.2,All Britons,2024<br>Green,2024<br>Labour,2024<br>Lib Dem,2024<br>Conservative,2024<br>Reform UK
Jeremy Corbyn,Favourable,26,59,42,35,4,5
Jeremy Corbyn,Unfavourable,61,34,50,56,87,87
Zarah Sultana,Favourable,14,39,23,22,1,2
Zarah Sultana,Unfavourable,26,15,21,24,36,42
Keir Starmer,Favourable,24,18,49,36,8,3
Keir Starmer,Unfavourable,68,76,45,60,88,95
